ministerio,tipo_documento,titulo,proposito,contenido,archivo
Ministerio  de relaciones  exteriores,DECRETO,DECRETO NÚMERO 0355 DE 2025,,"(marzo 27)
por el cual se hace un nombramiento en la planta de personal del",53072.pdf
Ministerio  del interior,DECRETO,DECRETO NÚMERO 0353 DE 2025,,"(marzo 27)
por el cual se acepta una renuncia y se hace un nombramiento en la planta de personal 
del",53072.pdf
Ministerio  de Hacienda,DECRETO,DECRETO NÚMERO 0359 DE 2025,,"(marzo 27)
por el cual se liquidan los recursos adicionados en el Decreto número 0274 de 2025 al 
Presupuesto General de la Nación de la vigencia fiscal de 2025.
El Presidente de la República de Colombia, en ejercicio de las facultades 
constitucionales y legales, en especial las que le confiere el artículo 67 del Estatuto 
Orgánico del Presupuesto, y
CONSIDERANDO:
Que el artículo 67 del Estatuto Orgánico del Presupuesto General de la Nación faculta 
al Gobierno naci onal para dictar el Decreto de Liquidación del Presupuesto General de la 
Nación.
2  
DIARIO OFICIALEdición 53.072
Viernes, 28 de marzo de 2025
D I A R I O  OFICIAL
Fundado el 30 de abril de 1864  
Por el Presidente Manuel Murillo Toro
Tarifa postal reducida No. 56
Directora : AlbA ViViAn A león HerrerA
MiNiSterio  DeL iNterior
imprent A nAcion Al de colombiA
AlbA ViViAn A león HerrerA
Gerente General
Carrera 66 No 24-09 (Av. Esperanza-Av. 68)  Bogotá, D. C. Colombia
Conmutador: PBX 4578000.
e-mail: correspondencia@imprenta.gov.co  
Que el citado artículo establece que el Decreto se acompañará con un anexo que tendrá el 
detalle del gasto para el año fiscal respectivo.
Que mediante el Decreto número 1523 de 2024 se expidió el Presupuesto de Rentas y 
Recursos de Capital y el Presupuesto de Gastos para la vigencia fiscal del 1° de enero al 31 de 
diciembre de 2025, el cual en su artículo 21 indica que el Gobierno nacional emitirá el Decreto 
de Liquidación donde clasificará los ingresos y los gastos y definirá estos últimos.
Que en virtud de lo establecido en el artículo mencionado y de conformidad con el artículo 
67 del Estatuto Orgánico del Presupuesto se expidió el Decreto número 1621 de 2024 que 
liquidó el Presupuesto General de la Nación para la vigencia fiscal de 2025, se detallaron las 
apropiaciones y se clasificaron y definieron los gastos.
Que mediante el Decreto número 0062 del 24 de enero de 2025, el Presidente de la 
República, con la firma de todos los Ministros, declaró el Estado de Conmoción Interior, por 
el término de 90 días, en la región del Catatumbo, ubicada en el nororiente del Departamento 
de Norte de Santander, la cual está conformada por los municipios de Ocaña, Abrego, El Carmen, Convención, Teorama, San Calixto, Hacarí, La Playa, El Tarra, Tibú y Sardinata, y los 
territorios indígenas de los resguardos Motilón Barí y Catalaura La Gabarra, así como en el área metropolitana de Cúcuta, que incluye al municipio de Cúcuta, capital departamental y núcleo del área, y a los municipios de Villa del Rosario, Los Patios, El Zulia, San Cayetano y Puerto Santander y los municipios de Río de Oro y González del departamento del Cesar.
Que mediante el Decreto número 0274 del 11 de marzo de 2025, se adicionó el Presupuesto 
General de la Nación de la vigencia fiscal de 2025 en la suma de dos billones setecientos sesenta y ocho mil millones de pesos moneda legal ($2.768.000.000.000).
Que la Corte Constitucional en sentencia C-170 de 2020 indicó:
“El artículo 67 del EOP determina que “Corresponde al Gobierno dictar el Decreto de 
Liquidación del Presupuesto General de la Nación” La jurisprudencia constitucional ha sido 
clara en reconocer la competencia y límites del Presidente para liquidar el presupuesto así como la naturaleza de este acto. La Sentencia C-354 de 1998  reiteró la C-629 de 1996  que 
estableció que la liquidación pretende “detallar o definir en forma específica cada uno de los conceptos que […] lo conforman, función que corresponde realizar al Gobierno en ejercicio de la potestad reglamentaria, en el decreto de liquidación como en el anexo que detalla el gasto para el año fiscal respectivo”.
Por lo tanto, el decreto de liquidación del presupuesto no es un acto de naturaleza 
legal. De hecho, en tiempos de normalidad institucional, no puede interferir en el trabajo del 
Legislador para modificar la ley anual de presupuesto, pues se trata de “(…)  una operación 
destinada a clarificar los resultados del debate legislativo y especificar el gasto (…)”. El decreto 
de liquidación pretende crear las condiciones adecuadas para ejecutar de mejor manera el 
presupuesto aprobado por las Cámaras.
De acuerdo con ello, en tiempos de normalidad institucional se aplica la regla del EOP , y 
no existe disposición alguna en el ordenamiento que prevea una norma distinta cuando se ha declarado un estado de excepción. En efecto, la Corte se ha referido al proceso presupuestal en 
estados de excepción y ha señalado que la única diferencia con la normalidad institucional 
es la facultad del Ejecutivo para cambiar la destinación de algunas rentas; reasignar partidas 
y realizar operaciones presupuestales con el propósito de conjurar la crisis e impedir la 
extensión de sus efectos (artículos 215 constitucional y 47 de la LEEE).
El (sic) Ejecutivo cuando (sic) se convierte en Legislador transitorio, tiene la facultad de 
intervenir el Presupuesto General de la Nación (sic) a través de adiciones y traslados (artículo 83 del EOP) y toda modificación deberá ser informada al Congreso (artículo 84 del EOP). 
La regla del artículo 67 del EOP que faculta al Gobierno nacional para proferir el decreto de 
liquidación del Presupuesto General de la Nación (sic), no cambia. En este punto es importante 
recordar que no pueden confundirse las etapas de adición y de liquidación, pues a pesar de que ambas están en cabeza del Presidente en estados de excepción, son distintas. Por tal razón, no 
puede entenderse la normativa presupuestal como una posibilidad de que el ejecutivo escoja si 
expide un decreto legislativo o uno reglamentario para hacer la liquidación presupuestal, en efecto, el artículo 83 EOP no hace tal habilitación.”  (Se resalta).
Que, en el mismo sentido, la Corte Constitucional en Sentencia C-215 de 2020 señaló: “En 
un tercer estadio temporal, en el contexto del estado de emergencia declarado por el Decreto 
417, este tribunal acaba de establecer, en la Sentencia C-170 de 2020, una nueva regla respecto de los decretos que modifican el PGN. Esta regla consiste en que la liquidación del PGN v 
su anexo deben considerarse del mismo modo que en condiciones normales,  es decir, como 
elementos propios de un decreto ejecutivo  y no de un decreto con fuerza de ley. Por tanto, su 
inclusión en un decreto legislativo no sería necesaria en términos jurídicos.” (Se resalta).Que de acuerdo con lo anterior y en concordancia con el artículo 209 de la Constitución 
Política, que señala que la función administrativa está al servicio de los intereses generales y se 
desarrolla con fundamento en los principios de eficacia, economía y celeridad, le corresponde al Gobierno nacional ejercer la facultad conferida en el artículo 67 del Estatuto Orgánico del 
Presupuesto y así garantizar la debida ejecución de los recursos contenidos en el Presupuesto 
General de la Nación.
Que en mérito de lo expuesto,
DECRETA:
Artículo 1°. Liquidación de la adición al presupuesto de rentas y recursos de capital . 
Adiciónese el Presupuesto de Rentas y Recursos de Capital del Presupuesto General de la Nación de la vigencia fiscal de 2025 en la suma de dos billones setecientos sesenta y ocho mil millones de pesos moneda legal ($2.768.000.000.000), según el detalle que se presenta a continuación:
Artículo 2°. Liquidación de la adición al presupuesto de gastos o de apropiaciones.  
Adiciónese el Presupuesto de Gastos o de Apropiaciones del Presupuesto General de la 
Nación de la vigencia fiscal de 2025, en la suma de dos billones setecientos sesenta y ocho 
mil millones de pesos moneda legal ($2.768.000.000.000), según el detalle que se presenta 
a continuación:

   3
Edición 53.072
Viernes, 28 de marzo de 2025 DIARIO OFICIAL
Artículo 3°. Anexo . El presente Decreto se acompaña de un anexo que contiene el detalle                  
del gasto.
Artículo 4°. Vigencia . El presente Decreto rige a partir de la fecha de su publicación
Publíquese y cúmplase.
Dado en Bogotá, D. C., a 27 de marzo de 2025.
GUSTA VO PETRO URREGO
El Ministro de Hacienda y Crédito Público,
Germán Ávila Plazas.

4  
DIARIO OFICIALEdición 53.072
Viernes, 28 de marzo de 2025

   5
Edición 53.072
Viernes, 28 de marzo de 2025 DIARIO OFICIAL

6  
DIARIO OFICIALEdición 53.072
Viernes, 28 de marzo de 2025

   7
Edición 53.072
Viernes, 28 de marzo de 2025 DIARIO OFICIAL
Resoluciones",53072.pdf
Ministerio  de Hacienda,RESOLUCIÓN,RESOLUCIÓN NÚMERO 0627 DE 2025,,"(marzo 21)
por la cual se reconocen las obligaciones liquidadas del Fondo de Estabilización de 
Precios de los Combustibles con Ecopetrol S. A. y la Refinería de Cartagena S. A. S. 
(Reficar) y se ordena su pago con Títulos de Tesorería TES Clase B.
El Ministro de Hacienda y Crédito Público, en ejercicio de sus facultades legales, en 
especial las que le confieren los artículos 61 y 73 del Decreto número 1523 de 2024, y
CONSIDERANDO:
Que el artículo 69 de la Ley 1151 de 2007 creó el Fondo de Estabilización de Precios 
de los Combustibles (FEPC) como un fondo cuenta sin personería jurídica, adscrito y 
administrado por el",53072.pdf
Ministerio  de defensa  nacional,DECRETO,DECRETO NÚMERO 0356 DE 2025,,"(marzo 27)
por el cual se fijan responsabilidades en el procedimiento para la recepción, registro, 
control y destrucción del material de guerra del Grupo Armado Organizado al Margen de 
la Ley - Comuneros del Sur.
El Presidente de la República de Colombia, en ejercicio de sus atribuciones 
constitucionales y legales, en especial las conferidas por los artículos 22, 113, 188 y 189 de 
la Constitución Política, la Ley 2272 de 2022 que prorroga, modifica y adiciona la Ley 418 
de 1997, Ley 548 de 1999, Ley 782 de 2002, Ley 1106 de 2006, Ley 1421 de 2010, Ley 1738 de 2014, la Ley 1941 de 2018, y
CONSIDERANDO:
Que el artículo 22 de la Constitución Política dispone que la paz es un derecho y un 
deber de obligatorio cumplimiento, y es obligación del Gobierno nacional garantizar el derecho a la paz conforme a los artículos 2, 22, 93 y 189 de la Constitución;
Que el artículo 113 de la Constitución Política señala que los diferentes órganos del 
Estado tienen funciones separadas, pero colaboran armónicamente para la realización de 
sus fines.
Que, según el artículo 188 de la Constitución Política, el presidente de la República 
simboliza la unidad nacional y al jurar el cumplimiento de la Constitución y de las leyes, se 
obliga a garantizar los derechos y libertades de todos los colombianos.
Que, de conformidad con los numerales 3 y 4 del artículo 189 de la Constitución 
Política, le corresponde el Presidente de la República dirigir la Fuerza Pública en calidad 
de comandante supremo de las fuerzas armadas y conservar en todo el territorio el orden 
público y restablecerlo cuando fuera turbado.
Que, de conformidad con el artículo 223 de la Constitución Política, solo el Gobierno 
puede introducir y fabricar armas, municiones de guerra y explosivos. Nadie podrá poseerlos ni portarlos sin permiso de la autoridad competente.
Que, de conformidad con lo señalado en el artículo 100 del Decreto Ley 2535 de 1993, 
corresponde a la Fuerza Pública la destrucción de material de guerra.
Que, mediante la Ley 171 de 1994, el Congreso de la República aprobó el Protocolo 
Adicional a los Convenios de Ginebra del 12 de agosto de 1949, relativo a la protección de las víctimas de los conflictos armados sin carácter internacional (Protocolo II), declarada exequible por la Corte Constitucional mediante la sentencia C-225 de 1995.
Que el artículo 1° de la Ley 2272 de 2022 señala que la política de paz es una política 
de Estado y, a su turno, el artículo 2° dispone que la paz total es una política de Estado que 
será: “prioritaria y transversal en los asuntos de Estado, participativa, amplia, incluyente 
e integral, tanto en lo referente a la implementación de acuerdos, como con relación a 
procesos de negociación, diálogo y sometimiento a la justicia. Los instrumentos de la paz 
total tendrán como finalidad prevalente el logro de la paz estable y duradera, con garantías 
de no repetición y de seguridad para todos los colombianos; estándares que eviten la impunidad y garanticen en el mayor nivel posible, los derechos de las víctimas a la verdad, 
la justicia y la reparación”.
Que el artículo 8° de la Ley 418 de 1997, modificado por el artículo 5° de la Ley 2272 de 
2022, establece que los representantes autorizados expresamente por el Gobierno nacional, 
con el fin de promover la reconciliación entre los colombianos, la convivencia pacífica 
y lograr la paz, siguiendo los lineamientos del Presidente de la República, podrán: “(…) 
realizar todos los actos tendientes a entablar y adelantar diálogos, así como negociaciones y lograr acuerdos con los voceros o miembros representantes de los grupos armados 
organizados al margen de la ley, dirigidos a: obtener soluciones al conflicto armado, lograr 
la efectiva aplicación del Derecho Internacional Humanitario, el respeto de los Derechos Humanos, el cese de hostilidades o su disminución, la reincorporación a la vida civil de los 
miembros de estas organizaciones o su tránsito a la legalidad y la creación de condiciones 
que propendan por un orden político, social y económico justo. (…)”.
Que el artículo 5° de la Ley 2272 de 2022, que modificó el artículo 8° de la Ley 418 
de 1997, precisa que: “Cuando así lo disponga el Gobierno nacional según lo acordado 
   9
Edición 53.072
Viernes, 28 de marzo de 2025 DIARIO OFICIAL
por las partes, en el marco de un proceso de desarme, una instancia internacional podrá 
estar encargada de funciones tales como la administración, registro, control, destrucción 
o disposición final del armamento del grupo armado organizado al margen de la ley y las 
demás actividades necesarias para llevar a cabo el proceso”.
Que el parágrafo 4° del artículo 8° de la Ley 418 de 1997, modificado por el artículo 5° 
de la Ley 2272 de 2022, dispone que el Presidente de la República, mediante orden expresa y en la forma que estime pertinente, determinará la localización y las modalidades de acción 
de la Fuerza Pública, siendo fundamental para ello que no se desconozcan los derechos y libertades de la comunidad.
Que el parágrafo 6° del artículo 8° de la Ley 418 de 1997, modificado por el artículo 
5° de la Ley 2272 de 2022, dispone que las partes en la mesa de diálogos podrán acordar 
la realización de acuerdos parciales, cuando lo estimen conveniente, los que deberán ser 
cumplidos de buena fe. Así mismo, señala que: “las disposiciones de carácter humanitario 
contenidas en los acuerdos de paz, incluidos los parciales, así como los protocolos que 
suscriban las partes en la mesa de diálogos, que tengan por propósito proteger a la población 
civil de los enfrentamientos armados, así como a quienes no participan directamente de las 
hostilidades, serán vinculantes para las partes”.
Que el parágrafo 8° del mismo artículo 5° dispone que al presidente de la República 
le corresponde exclusivamente la dirección de los acercamientos, conversaciones, 
negociaciones y diálogos de paz, como responsable de la preservación y mantenimiento del orden público en toda la Nación.
Que la Corte Constitucional afirmó en la Sentencia C-579 de 2013: “[e]l principio de 
dignidad humana y el derecho a la paz no sólo imponen el deber de prevenir la guerra, sino que, en caso de un conflicto inevitable, obligan al Estado a morigerar sus efectos. 
En este sentido, se ha reconocido que en relación con los conflictos armados, el primer 
deber del Estado es prevenir su advenimiento, para lo cual debe establecer mecanismos que 
permitan que los diversos conflictos sociales tengan espacios sociales e institucionales para 
su pacífica resolución”.
Que el 9 de marzo de 2024 el Gobierno nacional y las autoridades del departamento de 
Nariño instalaron la primera región de paz, en las que se pueden adelantar diálogos de paz, 
de conformidad con el artículo 8B de la Ley 418 de 1997, adicionado por el artículo 7° de 
la Ley 2272 de 2022.
Que las comunidades y autoridades del departamento de Nariño han manifestado la 
necesidad de dialogar con la población civil y con los actores armados que tienen injerencia en el territorio en el desarrollo de la Región de Paz.
Que desde el 19 de julio de 2024 se adelanta la Instancia para la Co-construcción de Paz 
Territorial en Nariño, con el propósito de verificar la voluntad de paz de Comuneros del Sur, al igual que se construyó una Hoja de Ruta.
Que el presidente de la República mediante la Resolución número 369 del 13 de 
septiembre de 2024 autorizo la instalación de la Mesa de Diálogos de Paz entre los representantes autorizados por el Gobierno nacional y los miembros representantes del 
grupo armado organizado al margen de la ley autodenominado Comuneros del Sur, que 
funciona bajo el nombre de Mesa para la Co-Construcción de Paz Territorial en Nariño.
Que la Mesa de Ca-construcción de Paz Territorial en Nariño ha desarrollado una agenda 
de transformación territorial con participación de las autoridades locales y representantes de las comunidades del territorio para la superación de las economías ilegales. En el marco de 
esta agenda, las comunidades de Nariño están cimentando las bases para una convivencia pacífica y sostenible, que buscan que cada comunidad sea escuchada y valorada, al tiempo que se construyan acuerdos que representen un nuevo capítulo en la historia de Nariño, en el que el respeto y la dignidad se consoliden como pilares fundamentales de la convivencia. 
En aras de alcanzar la paz en la región y con el propósito de Co-construir  día a día un 
tejido social fortalecido y resiliente en el departamento de Nariño, se están implementando acciones que permitan sembrar semillas de transformación territorial, contribuyendo al 
desarrollo integral de la región y fomentando la reconciliación entre sus habitantes.
Que en el marco de la agenda de transformación territorial que adelanta la Mesa de Ca-
construcción territorial en Nariño, en particular en la sesión quinta de la mesa, se suscribió 
el 19 de diciembre de 2024 el “Acuerdo Número 4: Procedimiento de Destrucción de 
Material de Guerra de Comuneros del Sur”.  En el marco de dicho Acuerdo, se acordó 
que: “La Destrucción del Material de Guerra que entrega Comuneros del Sur es una 
medida de construcción de confianza entre las Partes y la sociedad, y constituye el inicio 
del proceso de dejación de armas y tránsito a la ciudadanía plena de los integrantes de este 
grupo. También constituye una garantía para el ejercicio de los derechos de la ciudadanía 
consagrados en la Constitución, en particular a la paz, la vida en todas sus formas y la 
libertad”. En consecuencia, el Acuerdo implica el inicio progresivo de dejación de armas por parte del Grupo Armado Organizado al Margen de la Ley Comuneros del Sur.
Que el 23 de enero de 2004 se suscribió el “Convenio entre el Gobierno de la República 
de Colombia y la Secretaría General de la Organización de Estados Americanos para el acompañamiento al proceso de paz en Colombia”,  donde se establece una Misión (MAPP-
OEA) para apoyar al Gobierno en los objetivos de su política de paz. Dicho convenio fue prorrogado hasta el 24 de enero de 2027, mediante el Noveno Protocolo adicional al Convenio, suscrito entre la Secretaría General de la Organización de Estados Americanos y el Gobierno de la República de Colombia el 30 de mayo de 2024. En el mandato y 
funciones de la MAPP-OEA para efectuar acompañamiento a la política de paz con grupos armados ilegales, se contempla la “Verificación de la entrega de armas, que sean pactadas, 
monitorear su estricto cumplimiento y definir programas para su destrucción”.
Que el Acuerdo número 4, en concordancia con lo dispuesto por el artículo 5° de la 
Ley 2272 de 2022, estableció que la Misión de Apoyo al Proceso de Paz en Colombia 
de la Organización de los Estados Americanos – MAPP-OEA acompañará la recepción 
y verificación de los materiales de guerra que entregará Comuneros del Sur al Gobierno 
nacional.
Que en desarrollo del Acuerdo número 4, la Mesa para la Ca-Construcción de Paz 
Territorial en Nariño suscribió el “Protocolo III. Protocolo Específico para el Procedimiento 
de Destrucción del Material de Guerra de Comuneros del Sur”.  Este instrumento establece 
que: “La recepción, verificación y destrucción del material de guerra es responsabilidad 
del Gobierno nacional y lo ejecutará siguiendo los lineamientos técnicos prestablecidos 
para esto; y la Misión de Apoyo al Proceso de Paz en Colombia de la Organización de los 
Estados Americanos (MAPP-OEA) actuará como la entidad acompañante de la recepción y verificación de dicho material”.
Que, durante febrero de 2025, la Oficina del Consejero Comisionado de Paz y el",53072.pdf
Ministerio  de salud y,DECRETO,DECRETO NÚMERO 0354 DE 2025,,"(marzo 27)
por el cual se hace un nombramiento ordinario.
El Presidente de la República de Colombia, en ejercicio de las atribuciones 
constitucionales y legales, en especial las conferidas en el numeral 13 del artículo 189 de 
la Constitución Política de Colombia en concordancia con el artículo 2.2.5.1.1 del Decreto 
número 1083 de 2015,
DECRETA:
Artículo 1°. Nombramiento. Nómbrese doctor Luis Enrique Cortés Callejas, identificado 
con cédula de ciudadanía número 79132211, en el empleo de Director General de Entidad Descentralizada Código 0015 Grado 24 del Fondo de Previsión Social del Congreso de la 
República.
Artículo 2°. Comunicación .  Comuníquese, a través de la Secretaría General del",53072.pdf
"Ministerio de Salud y Protección Social, el presente acto administrativo.",DECRETO,DECRETO NÚMERO 0351 DE 2025,,"(marzo 27)
por el cual se adiciona la Parte 13 del Libro 2 del Decreto número 780 del 2016 relativo 
al Plan Nacional de Salud Rural (PNSR).
El Presidente de la República de Colombia, en ejercicio de sus facultades 
constitucionales y legales, en especial las que le confiere el artículo 49, el numeral 11 
del artículo 189 y el artículo 208 de la Constitución Política de Colombia, el artículo 15 
de la Ley 2294 de 2023, y en desarrollo de lo previsto en el Punto 1.3.2.1. del Acuerdo 
Final para la Terminación del Conflicto y la Construcción de una Paz Estable y Duradera 
adicionado de manera transitoria a la Constitución Política mediante del Acto Legislativo 
número 02 de 2017 y
CONSIDERANDO:
Que el artículo 49 de la Constitución Política de la República de Colombia reconoce 
el derecho a la salud como un servicio público a cargo del Estado, cuyo acceso a los 
servicios de promoción, protección y recuperación de la salud debe ser garantizado a todas 
las personas, por niveles de atención y con participación de la comunidad, consagrando 
que el Estado organizará, dirigirá y reglamentará la prestación de servicios de salud a los habitantes y de saneamiento ambiental conforme a los principios de eficiencia, 
universalidad y solidaridad.
Que el artículo 64 ibidem fija como obligación del Estado proteger los derechos de 
la población campesina como sujeto de especial protección. Así mismo, estipula que 
corresponde al Estado garantizar el acceso de bienes y servicios en condiciones de libertad e igualdad material, aspecto que se hace extensivo al derecho fundamental de la salud.
Que el Acuerdo Final para la Terminación del Conflicto y la Construcción de una 
Paz Estable y Duradera firmado en noviembre de 2016 entre el Gobierno nacional y las Fuerzas Armadas y Revolucionarias de Colombia -Ejército FARC-EP-, establece la 
responsabilidad del Estado en implementar acciones dirigidas a promover el desarrollo 
rural en el país, con miras a “erradicar la pobreza, promover la igualdad y asegurar el 
pleno disfrute de los derechos de la ciudadanía”.  Así mismo, establece en el numeral 
1.3.2.1. que el alcance del Plan Nacional para la Reforma Rural Integral (RRI) en materia 
de salud busca “acercar la oferta de servicios de salud a las comunidades, en especial 
los grupos y personas en condiciones de vulnerabilidad, fortalecer la infraestructura y la 
calidad de la red pública en las zonas rurales y mejorar la oportunidad y la pertinencia de la prestación del servicio” .
Que el artículo 24 de la Ley 1751 de 2015 señala que el Estado debe garantizar la 
disponibilidad de los servicios de salud para toda la población en el territorio nacional, en especial, en las zonas marginadas o de baja densidad poblacional, e igualmente, en las zonas dispersas deberá adoptar medidas razonables y eficaces, progresivas y continuas, 
para garantizar opciones con el fin de que sus habitantes accedan oportunamente a los servicios de salud.
Que el artículo 13 de la Ley 1751 de 2015 estableció que el sistema de salud estará 
organizado en redes integrales de servicios de salud, las cuales podrán ser públicas, 
privadas o mixtas.
Que los artículos 61 a 64 de la Ley 1438 de 2011 disponen que la prestación de 
servicios de salud dentro del actual sistema de salud se hará a través de las redes integradas de servicios de salud ubicadas en un espacio poblacional determinado, que las entidades territoriales en coordinación con las EPS, a través de los Consejos Territoriales de 
Seguridad Social en Salud, organizarán y conformarán las redes integradas incluyendo 
prestadores públicos, privados y mixtos y que estas redes se habilitarán de acuerdo con la reglamentación que expida el",53072.pdf
Ministerio de Salud y Protección Social de,RESOLUCIÓN,RESOLUCIÓN NÚMERO 00000525 DE 2025,,"(marzo 28)
por la cual se modifica el numeral 3.8 y 3.8.1 del Anexo Técnico “Guía para el desarrollo 
y presentación de los estudios de estabilidad de medicamentos de síntesis química” de la 
Resolución número 3157 de 2018 y se dictan otras disposiciones.
El Ministro de Salud y Protección Social, en ejercicio de sus facultades legales, en 
especial las conferidas por el artículo 455 de la Ley 09 de 1979, el artículo 245 de la Ley 100 de 1993, el numeral 3 del artículo 25 del Decreto número 4107 de 201 1, y
CONSIDERANDO:
Que el artículo 49 de la Constitución Política, modificado por el artículo 1° del Acto 
Legislativo 2 de 2009, establece una garantía universal de accesibilidad a los servicios de 
“promoción, protección y recuperación de la salud”, y señala que corresponde al Estado 
“organizar, dirigir y reglamentar la prestación de servicios de salud”, teniendo en cuenta los principios de eficiencia, universalidad y solidaridad.
Que el artículo 455 de la Ley 09 de 1979 establece que “Es responsabilidad de los 
fabricantes establecer, por medio de ensayos adecuados, las condiciones de estabilidad 
de los productos farmacéuticos producidos. El",53072.pdf
"Ministerio  de ViVienda ,",RESOLUCIÓN,RESOLUCIÓN NÚMERO 0158 DE 2025,"por la cual se reanuda el giro del subsidio comunitario en la prestación del servicio 
público de acueducto de","(marzo 27)
por la cual se reanuda el giro del subsidio comunitario en la prestación del servicio 
público de acueducto de acuerdo con lo establecido en el Decreto número 1697 de 2023 y se desasignan los recursos asignados en las Resoluciones MVCT 0519 y 0595 de 2024 a 
la Junta Administradora de Acueducto y Alcantarillado Vereda El Rosario.
El Secretario General (e) del",53072.pdf
"Ministerio de Vivienda, Ciudad y Territorio, dentro de los diez (10) días hábiles siguientes a su fecha de notificación y deberá ser presentado en la dirección electrónica",DECRETO,DECRETO NÚMERO 0352 DE 2025,,"(marzo 27)
por el cual se hace un nombramiento ordinario.
El Presidente de la República de Colombia, en ejercicio de sus facultades 
constitucionales y legales, en especial las conferidas en el numeral 13 del artículo 189 de 
la Constitución Política y el artículo 2.2.5.U del Decreto número 1083 de 2015, y
DECRETA:
Artículo 1º. Nombramiento. Nombrar a la doctora Natalia Irene Molina Posso, 
identificada con cédula de ciudadanía número 1020782089, al empleo denominado Subdirector de Departamento Administrativo Código 0025, Grado 00, de la Subdirección 
General de Descentralización y Desarrollo Territorial del Departamento Nacional de 
Planeación.
Artículo 2º. Comunicación . Comunicar a través de la Subdirección de Gestión del 
Talento Humano del Departamento Nacional de Planeación, el contenido del presente 
Decreto a la doctora Natalia Irene Molina Posso.
Artículo 3º. Vigencia.  El presente decreto rige a partir de la fecha de su expedición.
Publíquese, comuníquese y cúmplase.
Dado a 27 de marzo de 2025.
GUSTA VO PETRO URREGO
El Director General del Departamento Nacional de Planeación (e),
Jhonattan Julián Duque Murcia.
68  
DIARIO OFICIALEdición 53.072
Viernes, 28 de marzo de 2025
suPerintendencias
Superintendencias de Sociedades
Resoluciones",53072.pdf
